read_id,alignment_len,M,X,D,I,M_CG,X_CG,D_CG,I_CG,mapq
2cb6dd5d-88e1-481c-9754-c98b173d3ccf,2048,1925,57,43,23,117,1,1,1,60
2d378fa7-737b-4ab1-883a-525930c57c13,0,0,0,0,0,0,0,0,0,0
2d68ba7d-e93c-4948-a24e-4f4f54b6cbdf,226,209,3,11,3,6,1,0,0,60
2d702a6e-6660-4fc8-9155-5e44108067a0,9267,8468,307,276,216,587,37,8,9,60
2da2e3a7-8284-4921-82f0-8eeb4e462123,2318,2190,34,52,42,133,0,1,1,60
2de6fcdb-a4b0-445c-ab62-b1580d37417f,998,965,5,14,14,65,1,1,1,60
2e23ae36-25cd-4281-97a5-81b0e0bd6198,1583,1434,65,38,46,104,9,0,1,60
2e86515a-dfa6-4308-8e9c-ae9c2b774b09,362,341,6,9,6,19,0,0,0,60
2ebb917b-fe34-4ccb-833d-46207247dd68,4910,4730,75,51,54,416,18,2,1,60
2ed36376-1d60-49ff-bdbf-3bbb5cf8a2c8,2154,2096,21,7,30,158,7,0,0,60
2f12ba52-d601-4ada-81f6-0daadd514f55,1407,1025,145,171,66,40,17,4,1,60
2f3232b5-5fd6-4207-9632-f8b34f7e6d0f,1912,1865,22,12,13,143,3,1,0,60
2f657b93-8a60-4845-ad05-7c64940b51df,2269,2087,56,72,54,142,9,1,1,60
2fc53d82-4f6f-4b3b-afd6-b04309aacb37,491,472,6,8,5,36,1,0,0,60
2fd2c713-099f-4ea0-ad85-eef1e6e4c0d6,3334,3130,74,76,54,238,2,4,0,60
303fc878-20ab-4378-ba1e-9b4b723c15dc,1224,1179,12,17,16,25,0,0,0,60
30496a84-671a-4244-9041-836aff021522,1647,1400,123,75,49,96,3,2,1,60
30a87b71-dd99-40bf-bedd-6ed6aae823de,19638,13196,1496,4280,666,846,117,65,44,60
31091362-d2fc-46cc-9169-8daf355e978c,3445,3322,35,56,32,217,4,1,2,60
31308d5d-8884-4d59-9a97-3c7a38305524,1967,1909,19,21,18,174,4,1,0,60
3146a3f9-d101-44be-981b-52d1be2d28f3,0,0,0,0,0,0,0,0,0,0
3154bc16-efc9-4378-9487-5d47fb794c00,0,0,0,0,0,0,0,0,0,0
319fbf70-23af-4624-99e9-656b2edea104,2324,2197,69,42,16,86,0,0,0,60
31c9f1cc-c24a-472c-ab6e-d01479a85653,336,296,16,17,7,24,1,0,0,60
31e1fcee-5a55-40dc-a3fc-ea0f6f5916a3,869,802,23,31,13,60,0,0,1,60
31e8e54a-a649-4dfb-852c-b40176c7ad88,1621,1535,24,41,21,83,0,0,0,60
3290684b-7065-4297-9d6e-6fdde85754f3,3169,3028,52,53,36,226,11,4,2,60
32ccafd0-1290-4934-90f6-578c4e80cbbe,465,440,9,10,6,16,0,0,0,60
32f5842d-f5a4-438c-b531-b34cc0e3bf5a,378,353,12,8,5,25,0,0,1,60
33155e44-f91c-49eb-b55b-0e9cfdd61962,0,0,0,0,0,0,0,0,0,0
331ba2c1-899a-4d17-bfb0-38b4caec1186,1674,1576,41,32,25,85,8,1,2,60
332372ae-3fb6-4465-aea2-3989ceefbeda,8262,8021,93,97,51,634,20,7,3,60
334399f9-a968-4adb-af49-0eb772e93fb7,796,758,14,7,17,51,3,0,0,60
33cfec27-47c6-49ce-8312-e8122e4f8612,1608,1513,26,52,17,108,4,2,1,60
341e09d3-ef11-4a32-af46-ba92d04f79ce,0,0,0,0,0,0,0,0,0,0
34e718fe-0aa7-4d07-8187-04153256ce53,1582,1465,36,36,45,74,1,2,0,60
3549453a-36ac-499b-a3f1-1f077f88c518,1120,1038,29,33,20,55,1,1,0,60
354c7799-0d36-4fef-9b5f-c7fc144c760f,1921,1800,47,50,24,115,1,1,0,60
356f3b8e-e3b6-4125-adb2-96a5b4183278,1092,1007,30,43,12,98,0,1,0,60
35b4c3d3-6e16-4b6b-82cf-e3ce84ec9bfe,0,0,0,0,0,0,0,0,0,0
361634d6-894e-44fe-82aa-03657d82b1b0,3739,3495,102,95,47,234,1,1,1,60
36a4764c-416c-41b7-b8db-dde41e33824a,1984,1902,40,26,16,133,8,0,0,60
375238a0-a438-492d-aee5-55eb5c2be2e2,2010,1896,40,47,27,146,0,1,0,60
376bd300-03c5-4fef-9132-e14b2ce697d5,2448,2325,37,63,23,187,3,0,0,60
37a8ec00-e779-4221-baa5-acf828bfe972,1888,1819,38,11,20,115,5,0,1,60
37eb061d-005b-4ef7-aa0d-2ab2cd3c6f3e,694,656,13,13,12,61,1,0,0,60
38029605-9941-4593-8606-18a4c7801e63,840,801,14,19,6,33,2,0,0,60
38274815-734f-4e3a-aa1b-8dc54eb1a3b1,1129,1087,12,20,10,76,1,1,0,60
382c1f1c-9865-4903-b60b-fd6a3a688617,1910,1822,21,37,30,146,3,4,0,60
3860b91e-6acb-47a3-810b-fddc42fd941f,1033,974,30,14,15,63,2,0,0,60
3898b1d9-a04e-4b71-81f6-c87e50e6fa38,1826,1782,14,19,11,134,5,1,0,60
38a2a805-f267-4523-956e-57380f76b731,1810,1648,78,55,29,73,6,3,1,60
38b4de36-b4ac-46de-b5dd-2f0f9bb01453,326,312,6,6,2,21,2,0,0,60
38d91d47-b468-4aac-aeaa-0077b0b77661,11466,10272,453,447,294,442,18,3,3,60
391516d9-d994-461a-834d-472637310006,1501,1435,15,25,26,72,0,0,1,60
39594814-55c1-4ec9-b913-16f21cb89eef,0,0,0,0,0,0,0,0,0,0
3977ef99-2725-4377-80c8-8231fb67a5fc,1593,1527,17,35,14,118,0,0,1,60
3a064449-1d23-4cb0-a0ee-569cb768cf2f,1549,1484,23,28,14,48,3,0,0,60
3a1ab57b-07a3-4899-a324-a68d0b2a4979,3381,3219,62,60,40,215,9,3,2,60
3a76cae5-7b24-44c0-b49a-fc636ff66cf5,1499,1436,14,31,18,131,0,0,0,60
3aab5f79-12e8-4cf4-9eb2-450aa5ad2a72,221,219,2,0,0,16,0,0,0,60
3aae0608-1ca1-4b96-927b-afb8e0d441a1,477,416,25,17,19,35,1,0,0,60
3acaf48d-1ffb-4a94-bd61-28eb70650826,7401,7114,114,101,72,562,14,4,2,60
3add94b5-0147-4b78-9804-4971d912b270,2871,2198,305,250,118,117,11,4,6,60
3b65ad52-8637-41ba-b405-8bbc8bc0ed11,0,0,0,0,0,0,0,0,0,0
3b8f5369-e9fd-47d2-9ad3-a97e79f68e06,503,467,17,8,11,30,2,0,0,60
3baa17c7-a739-42bd-a50d-27ba3676f416,1861,1808,16,22,15,160,2,0,0,60
3bc1779c-77cf-4d02-b80f-bff2e0a88ca5,545,517,5,17,6,34,0,0,0,60
3ce223e7-1653-489c-b16b-4f7b6915138f,9245,8847,132,171,95,765,4,4,3,60
3d089dff-0deb-44d1-b43d-5ae8ef6d489b,568,541,11,8,8,39,0,0,0,60
3d36326d-76c3-40a8-b357-5d20d23e2419,0,0,0,0,0,0,0,0,0,0
3d4b9bf9-07f2-41d3-9ea1-91577391262d,1809,1751,20,19,19,143,3,1,0,60
3dd0eaf8-0d23-4325-93fc-9a5605d656da,2597,2499,30,31,37,59,1,0,1,60
3e0f53e9-9e9b-48db-b28c-d6a33f925ce3,4748,4478,137,81,52,377,3,2,0,60
3e1993a3-c1f1-436b-bf2f-6d2bf33011b3,6756,6498,98,92,68,433,15,5,2,60
3e279528-ba34-49b6-9325-60e862c81200,4693,4139,225,218,111,286,10,6,0,60
3e50cb7a-0b4c-4818-9fb6-004f9e21132e,2697,2618,28,31,20,215,3,1,0,60
3e6974db-6e83-49ea-a2d8-2f59f297c18c,2919,2786,49,54,30,208,4,3,1,60
3e822d7b-85d3-466e-b60f-1430df12c49c,2534,2303,92,83,56,189,14,3,3,60
3eb641e1-1698-4a2c-b03c-046df9d0d0b5,2909,2799,54,29,27,191,9,1,0,60
3ec5d3ce-dc36-49b4-a16b-4a8da2e8e94a,1033,954,21,44,14,74,1,1,0,60
3f683d70-2fc6-4acb-8d08-231346934a02,1793,1675,42,47,29,110,3,0,1,60
40262b5e-ae92-4adc-bd30-5d97a21e5e65,1360,1307,24,22,7,95,2,0,1,60
4098017b-3718-49b3-8273-b890bdfd598b,34576,33051,479,614,432,2222,11,9,4,60
40cb87b1-325b-4352-b577-e973f25a99f3,1355,1289,23,32,11,119,1,1,1,60
41e2aba8-fb91-4688-b14e-85047bfcdf58,1358,1241,45,44,28,118,6,0,1,60
42005cf7-704c-4e46-a12c-ae22a9f9725a,2714,2584,46,42,42,159,3,1,1,60
4215a107-1579-49fc-952e-c8a0b7a5f9dd,182,156,7,10,9,5,0,0,0,41
42508a7f-a271-4b06-8318-f6e104f6b5d8,3047,2957,27,41,22,233,1,2,0,60
427ae6dc-8227-497d-9c19-eba20b258b54,3094,2980,38,52,24,234,4,0,0,60
42b21d73-9ff2-49df-9dac-a6774d0984ff,3058,2889,59,79,31,174,1,1,1,60
435446e1-be37-43e4-b1d4-e9d146d5291e,1577,1472,36,40,29,32,0,1,0,60
43a00492-6c43-4f50-a6d7-d4a3bdd500cb,0,0,0,0,0,0,0,0,0,0
43cfefcd-72ef-48b2-bd51-cecbff41ba9d,460,453,1,6,0,29,0,0,0,60
43ed977f-e456-4ad3-95e7-556e5107fbc9,726,655,35,14,22,40,1,1,0,60
44b482c2-7468-4092-a30b-40a6547b6ee4,740,687,23,16,14,15,1,0,0,60
45cb7e46-c24c-4f32-bae5-d4bebe9142ea,3625,3448,60,62,55,341,4,3,1,60
468474f7-93d5-48d1-be09-63bbeca300ed,2904,2263,295,212,134,124,16,4,3,60
47023e7b-c4dc-4087-b4be-be7621df4c61,1306,1258,14,16,18,82,2,0,1,60
47060ed6-f9d7-42e8-8c2d-a0efef8d97ae,4185,3966,89,77,53,275,1,0,0,60
473ce641-7a60-4393-b075-9b60ad04c38c,256,243,6,4,3,9,0,0,0,60
478a96f1-03d8-4f12-9f5c-03c7e6d7e3dd,2028,1923,35,46,24,101,3,0,1,60
47d9ebd9-7919-49cb-a073-3de9d8c226cf,1933,1750,86,49,48,96,4,1,3,60
481ff8a9-e8cc-4ff9-b5f1-2011fab8358d,2916,2794,48,54,20,242,10,2,2,60
4839b13e-79b9-417d-9cb5-3ccba3a42ad5,2740,2573,68,62,37,187,1,0,1,60
48c15987-d89e-459e-be86-c720bd94eedf,4086,3815,92,113,66,237,10,1,1,60
48f86b53-84d6-4e92-8dce-53afe091516d,2776,2642,50,53,31,200,9,3,0,60
49d67fd7-3ca8-4ba1-9fe7-faf2a1022a4e,1442,1364,15,55,8,110,3,3,0,60
49dd5276-ea53-48ff-b7e0-7b7e60fe7765,1162,1110,27,11,14,66,0,0,0,60
49fde55a-6153-4120-bea5-297476558b90,1464,1321,46,69,28,95,3,3,2,60
4a0c7dc4-c60a-4951-af51-b3ab9669c37a,0,0,0,0,0,0,0,0,0,0
4a1f1cd2-5e21-48af-bb7c-14969f5b33f3,9453,8870,235,226,122,581,25,5,7,60
4a2f2f45-05f8-4f21-bd50-cb99c35324df,1188,928,63,170,27,80,3,5,1,60
4a3f1d07-97c5-41d0-a265-c528f0e35e33,952,910,12,17,13,47,2,0,0,60
4a6f35c8-08f9-4d13-8cce-cd299d2c6db1,8500,7992,189,213,106,581,26,9,8,60
4a83a357-9d2a-4f14-bc3a-f7026738806e,6937,6628,120,118,71,318,12,1,6,60
4aa062f4-f83e-4a95-aeb9-42e27e1dd8dd,314,279,6,18,11,6,1,0,0,60
