read_id,alignment_len,M,X,D,I,M_CG,X_CG,D_CG,I_CG,mapq
3a8f2051-bcc7-46f7-b6b5-39236e9b33e6,765,673,28,29,35,45,2,2,1,60
3b77e7cf-b760-40f4-bd0b-75374350bcb1,3692,3357,116,129,90,194,16,10,0,60
3c16028e-3a27-459b-8e6e-05d297300b01,3333,3083,85,113,52,193,5,1,1,60
3c485228-99db-4699-bc71-947862da9407,2165,2058,48,36,23,127,6,1,1,60
3c74e34c-1ab6-4d06-9c37-21109e81ddec,6819,5828,360,375,256,281,30,10,7,60
3c7cc44d-3a89-4a6b-a099-27748c5b08b4,1095,906,73,66,50,60,11,4,2,60
3d0b5409-141c-4015-8e2d-0f20e6062d25,2459,2088,140,127,104,112,10,7,0,60
3d122e92-a6b7-44fb-bdf1-f09fe2dbffdb,1618,1490,48,57,23,85,2,1,0,60
3d578895-af25-4f53-a630-cf9370c9331e,2083,1946,47,60,30,122,1,3,0,60
3d63614a-32c5-4009-b95b-83d60c1f0506,4795,4577,73,79,66,257,3,0,0,60
3d936c88-be47-4838-8255-45e93b6f83a5,1433,1354,30,21,28,87,1,0,0,60
3deb2cb0-812d-474b-9cbf-7a0ad28b14dc,5610,5338,65,122,85,407,6,4,2,60
3df171a7-598a-43d1-8c7a-9f28e7e9857c,1934,1753,67,61,53,63,5,2,0,60
3e59eca3-e9dc-41a8-9993-1b05eb917c0f,306,268,9,14,15,20,1,3,0,60
3edcded0-5be2-491f-b1e7-f0da10cff10a,2307,2175,44,50,38,156,1,2,0,60
3ee3fc58-5f03-4e52-88a3-6e4f85897bf5,2698,2487,70,82,59,109,6,4,0,60
3efd1ac7-48f9-4dcc-9945-e49a7a37e399,850,806,17,9,18,60,1,2,1,60
3f27e209-afc2-4337-b860-3dd1d591c3d6,1286,1183,46,20,37,82,4,1,0,60
3f2eb41b-2052-4b28-816c-901957b52e8c,4258,4066,53,81,58,237,8,1,1,60
3f725503-30fb-4c73-9c2e-6faf67c5dc1e,0,0,0,0,0,0,0,0,0,0
3f94be28-3ba6-4d5f-aaf6-804784bd775e,1058,998,19,27,14,84,1,4,1,60
3fb87f54-8df2-4a66-8347-32d129b7f9dd,2987,2755,76,87,69,191,8,4,2,60
3fbcd1c4-e822-4bdd-9944-eeb003c57fcb,1276,1139,45,54,38,64,2,1,0,60
3fd45ca8-3384-4381-8ec5-7e10c32bfd72,522,490,9,22,1,49,1,2,0,60
3fd861ac-8a68-4e8e-b21b-0b42d46e6e0e,3905,3531,140,116,118,253,16,8,1,60
4009015a-f1ae-4df8-ac06-d7f3279a21bb,0,0,0,0,0,0,0,0,0,0
400aa258-2763-46b0-a630-db5078ceb116,1752,1647,37,34,34,119,3,1,0,60
400fd1b7-c572-4883-b32a-36b5055870b5,311,303,6,0,2,14,0,0,0,60
40519b4c-6a8b-4fb9-ae7e-8dc23ed6bbf4,2219,2072,64,46,37,134,6,1,1,60
4061c572-8f23-4105-9d85-ef9b9f965c2c,424,394,10,15,5,16,1,0,0,60
40631d44-9f97-4c2c-8a2d-12b687776d22,2631,2408,74,102,47,140,3,5,1,60
40ead700-faae-4e84-8972-16ca291c4ae1,636,593,11,19,13,28,1,1,0,60
41601c21-612b-41ff-b5b3-5520003dc74b,1966,1805,60,57,44,113,6,6,1,60
417a027c-f1b9-4719-8cb6-e8e7267dfd36,4046,3692,137,137,80,197,19,8,3,60
41d38c8c-689d-47b6-bc5e-0748daa8eb4c,0,0,0,0,0,0,0,0,0,0
4265273b-fdb8-4ad8-b800-d1b4b88c6427,0,0,0,0,0,0,0,0,0,0
427d1bf3-81a1-47bb-9e6d-a13cd5b70f5e,2742,2212,204,184,142,121,14,4,1,60
42cb487b-0c47-4870-9b71-87b39d2608f4,1663,1430,91,70,72,123,14,8,0,60
42d77eac-2f68-4194-8ed6-b3f766a6289e,1971,1750,67,56,98,115,4,2,3,60
440252eb-49b7-40df-9414-3bda23acb41d,452,406,21,18,7,28,2,1,0,60
443c4557-d941-446f-8920-eaf3ff9b6076,13972,10790,1280,788,1114,497,86,25,16,60
44fcd17d-5918-429f-b6c5-6e23c7943076,4620,3645,440,312,223,156,13,4,7,60
451bb99d-6482-4525-a05e-821d7885682d,1259,1174,31,42,12,100,0,2,0,60
452b5f4a-b6ac-482b-bb4b-b2c074c3cc20,700,657,18,19,6,56,1,1,0,60
4554fb2f-ace0-4773-9f4b-3dd6af71e644,2657,2513,60,44,40,93,5,4,0,60
463389da-b43c-4cfa-a66b-c331c1c05edd,978,912,26,27,13,84,0,0,0,60
